Year,Player,Pos,Tm,G,PER, Salary ,MP,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,Archetype
1980,Bob Wilkerson,SF,DEN,75,10.9,,31.7,0.1,5.6,2.2,4.2,3.2,1.2,0.4,2.6,2.6,13.8,All Star Post Scorer
1980,Paul Westphal,SG,PHO,82,21.1,,32.5,0.3,8.1,4.7,2.3,5.1,1.5,0.4,2.5,2,21.9,Superstar
1980,Mike Glenn,SG,NYK,75,16.6,,10.7,0,2.5,0.8,0.9,1.1,0.5,0.1,0.5,1.1,5.9,Ignorance
1980,Phil Hubbard,PF,DET,64,13.7,,18.6,0,3.3,2.6,5,1.1,0.8,0.2,1.9,3.2,9.1,Rim Protector
1980,Eric Fernsten,PF,BOS,56,14.4,,7.7,0,1.3,0.6,1.7,0.5,0.3,0.2,0.4,0.8,3.1,Ignorance
1980,Don Ford,SF,TOT,73,9.6,,13.7,0,1.8,0.6,2.5,0.9,0.3,0.3,0.7,1.8,4.2,Post Scorer
1980,Tim Bassett,PF,TOT,12,6.7,,13.7,0,1,0.8,2.8,1.2,0.7,0,0.8,2.3,2.8,Post Scorer
1980,Kevin Porter,PG,WSB,70,13.1,,21.3,0,2.9,1.6,1.2,6.5,0.8,0.2,2.3,2.6,7.3,Playmaker
1980,Jim Paxson,SG,POR,72,9.1,,17.6,0,2.6,0.9,1.5,2,0.7,0.1,1.3,1.3,6.2,Sharpshooter
1980,Wayne Cooper,PF,GSW,79,14.8,,22.5,0,4.6,1.7,6.4,0.5,0.3,1,1.8,3.1,11,Rim Protector
1980,David Thompson,SG,DEN,39,19,,31.8,0.2,7.2,6.5,4.5,3.2,1,1,3,2.7,21.5,Superstar
1980,Henry Bibby,PG,PHI,82,11.1,,24.8,0.1,2.9,2.8,2.5,3.7,0.8,0.1,1.8,2,9,Playmaker
1980,Harry Davis,SF,SAS,4,5.8,,7.5,0,1.5,0.3,1.5,0,0.3,0,0.8,2,3.3,Ignorance
1980,Fred Brown,SG,SEA,80,16.4,,21.3,0.5,4.6,1.4,1.9,2.2,0.8,0.2,1.3,1.5,12,Playmaker
1980,Tom LaGarde,C,SEA,82,10.8,,14.2,0,1.8,1.1,3.8,1.1,0.2,0.4,1.2,2.5,4.7,Post Scorer
1980,Richard Washington,PF,MIL,75,12.3,,14.6,0,2.6,0.6,3.7,0.7,0.3,0.6,0.8,2.2,5.9,Post Scorer
1980,Paul Mokeski,C,HOU,12,4.4,,9.4,0,0.9,0.6,2.4,0.2,0.1,0.5,0.8,2,2.4,Post Scorer
1980,Scott May,SF,CHI,54,14.9,,24,0,4.9,2.7,4,1.9,0.8,0.1,1.4,2.3,12.4,Playmaker
1980,Adrian Dantley,SF,UTA,68,24.3,,39.3,0,10.7,6.5,7.6,2.8,1.4,0.2,3.4,3.1,28,Superstar
1980,Larry Steele,SF,POR,16,10.8,,27.9,0,3.9,1.4,2.8,4.2,1.6,0.1,2.1,3.3,9.1,Playmaker
1980,Jim Chones,C,LAL,82,11.3,,29.2,0,4.5,1.5,6.9,1.8,0.7,0.8,2.1,3.3,10.6,Rim Protector
1980,Larry Kenon,PF,SAS,78,17.2,,35.9,0,8.3,3.5,9.9,3,1.4,0.2,3,2.5,20.1,All Star Post Scorer
1980,John Drew,SF,ATL,80,17.8,,28.8,0,6.7,6.1,5.9,1.3,1.1,0.3,3,3.9,19.5,All Star Post Scorer
1980,Billy McKinney,PG,KCK,76,13.4,,17.5,0,2.7,1.4,1.1,3.3,0.8,0.1,1.2,1.1,6.8,Playmaker
1980,Don Chaney,SG,BOS,60,7.8,,8.7,0,1.1,0.5,1.2,0.6,0.5,0.2,0.6,1.3,2.8,Ignorance
1980,Clemon Johnson,C,IND,79,13.9,,19.5,0,2.5,0.9,5,1.5,0.6,1.5,1,2.7,6,Rim Protector
1980,Johnny High,PG,PHO,82,10.1,,13.7,0,1.7,1.5,2.1,1.5,0.9,0.2,1.5,2.1,5,Post Scorer
1980,James Edwards,C,IND,82,17.6,,28.2,0,6.4,2.8,7,1.5,0.7,1.3,1.6,4,15.7,All Star Post Scorer
1980,Wes Unseld,C,WSB,82,15.4,,36.3,0,4,1.7,13.3,4.5,0.8,0.7,1.9,3,9.7,All Star Post Scorer
1980,Truck Robinson,PF,PHO,82,15.3,,33,0,6.6,4,9.4,1.7,0.7,0.7,3.1,3.2,17.3,All Star Post Scorer
1980,Caldwell Jones,C,PHI,80,9.7,,34.6,0,2.9,1.6,11.9,2.1,0.5,2,2.7,3.7,7.4,All Star Big Man
1980,Hollis Copeland,SF,NYK,75,11,,15.2,0,2.4,0.8,2.1,1.1,0.8,0.3,1.1,2.1,5.7,Post Scorer
1980,Scott Wedman,SF,KCK,68,16.9,,34.5,0.1,8.3,2.1,5.7,2.1,1.2,0.7,1.6,3.4,19,All Star Post Scorer
1980,John Shumate,PF,TOT,65,16,,20.6,0,3.2,2.5,5.6,1.3,0.6,0.7,1.4,1.9,8.9,Rim Protector
1980,Steve Hawes,PF,ATL,82,16.2,,22.6,0,3.7,1.8,6,1.8,0.9,0.4,1.5,2.5,9.3,Rim Protector
1980,Dave Twardzik,PG,POR,67,13.9,,23.8,0.1,2.7,2.9,2.3,4.1,1.1,0,2,2.2,8.5,Playmaker
1980,Winford Boynes,SG,NJN,64,13.1,,17.2,0,3.5,1.6,2.1,1.5,0.9,0.3,1.5,2.1,8.5,Playmaker
1980,Earl Tatum,SG,CLE,33,9.3,,6.8,0.1,1,0.3,0.8,0.6,0.5,0.2,0.5,0.9,2.6,Ignorance
1980,Bingo Smith,SF,TOT,78,11.3,,27.2,0.3,4.6,1.3,3.3,1.3,0.8,0.2,1,2.7,11.4,Playmaker
1980,Ernie Grunfeld,SF,KCK,80,10.9,,17.5,0,2.3,1.3,2.9,1.4,0.7,0.1,1,1.9,5.9,Post Scorer
1980,John Johnson,SF,SEA,81,13.3,,31.3,0,4.7,2,5.3,5.2,0.9,0.4,3,2.6,11.3,All Star Post Scorer
1980,Otis Birdsong,SG,KCK,82,18.5,,35.2,0.1,9.4,3.5,4,2.5,1.7,0.3,2.2,2.8,22.7,All Star Post Scorer
1980,Ron Brewer,SG,POR,82,13.2,,34.3,0.1,6.6,2.2,2.6,2.6,1.2,0.6,2,1.9,15.7,All Star Post Scorer
1980,Jan Van,SF,NJN,82,9.5,,29.3,0.1,2.5,1.6,5.2,3,1.2,0.9,1.9,3.7,6.8,Rim Protector
1980,George Johnson,C,NJN,81,11.8,,26.2,0,3.1,1.1,7.4,2.1,0.7,3.2,2.5,3.9,7.2,All Star Big Man
1980,Jeff Cook,PF,PHO,66,14.4,,13.7,0,2,1.6,3.7,1.3,0.4,0.3,1.1,1.5,5.5,Post Scorer
1980,Dennis Johnson,SG,SEA,81,15.9,,36.3,0.1,6.9,4.7,5.1,4.1,1.8,1,2.8,3.3,19,Superstar
1980,Greg Deane,SG,UTA,7,4.5,,6.9,0.1,0.1,0.7,0.9,0.9,0,0,0.4,0.4,1.4,Ignorance
1980,Dennis Awtrey,C,CHI,26,7.4,,21.5,0,1,1.2,4.4,1.5,0.5,0.6,1,2.5,3.3,Post Scorer
1980,Jack Givens,SF,ATL,82,11.5,,15.3,0,2.2,1.3,3,0.7,0.6,0.2,0.7,1.6,5.7,Post Scorer
1980,Ron Boone,SG,TOT,81,12.1,,29.5,0.2,4.8,2.2,2.8,3.8,1.2,0,2.4,2.9,12.4,Playmaker
1980,Mike Mitchell,SF,CLE,82,19.1,,34.2,0,9.5,3.3,7.2,1.1,0.9,0.9,2.1,3.2,22.2,All Star Post Scorer
1980,Joe Hassett,SG,IND,74,13,,15.3,0.9,2,0.3,1.3,1.4,0.6,0.1,0.6,1.1,7.1,Sharpshooter
1980,Robert Smith,PG,TOT,65,10.8,,12.4,0.1,1.7,1.2,1.2,1.4,0.4,0.1,0.8,1.6,5,Post Scorer
1980,Clifford Ray,C,GSW,81,11.3,,20.8,0,2.5,1,5.8,2.3,0.6,0.4,1.9,3.3,6,Rim Protector
1980,Lloyd Walton,PG,MIL,76,9.6,,16.4,0,1.4,0.6,1.2,3.8,0.6,0,1.5,0.9,3.6,Sharpshooter
1980,Tom Burleson,C,KCK,37,7.8,,7.4,0,1,0.6,1.9,0.5,0.2,0.4,0.7,1.3,2.6,Ignorance
1980,Earl Evans,PF,DET,36,10.3,,10.6,0.2,1.6,0.7,2.1,1,0.4,0,1,1.8,4.4,Post Scorer
1980,Tom Abernethy,PF,GSW,67,11,,18.2,0,2.3,0.8,2.9,1.3,0.5,0.2,0.6,1.8,5.4,Post Scorer
1980,Coby Dietrick,C,CHI,79,12.1,,23.2,0,2.9,1.1,4.6,2.7,1.1,0.6,1.4,2.9,6.9,Playmaker
1980,Bobby Jones,PF,PHI,81,18.5,,26.2,0,4.9,3.2,5.6,1.8,1.3,1.5,1.8,2.8,13,All Star Post Scorer
1980,Tom Henderson,PG,HOU,66,9.7,,23.5,0,2.3,0.8,1.7,4.2,0.8,0.1,1.5,1.6,5.5,Playmaker
1980,Michael Cooper,SG,LAL,82,12.5,,24.1,0.1,3.6,1.4,2.8,2.7,1,0.5,1.7,2.6,8.8,Playmaker
